"subclass","label"
"Q215793","maître de chapelle"
"Q82594","informaticien ou informaticienne"
"Q105397736","South Asianist"
"Q84505214","spécialiste de l'Asie de l'Est"
"Q177220","chanteur ou chanteuse"
"Q1731155","orientaliste"
"Q4573805","commissaire municipal"
"Q16351788","patriot"
"Q11499147","militant ou militante politique"
"Q639669","musicien ou musicienne"
"Q1914636","activité"
"Q192581","travail"
"Q2266417","employment opportunities"
"Q58209937","professeur d'histoire"
"Q100709106","professeur de géographie"
"Q1607826","éditeur ou éditrice"
"Q16533","juge"
"Q28107590","artiste de concept"
"Q15839134","écologue"
"Q170790","mathématicien ou mathématicienne"
"Q2732142","statisticien ou statisticienne"
"Q3127709","harpiste"
"Q21166956","luthiste"
"Q37226","enseignant ou enseignante"
"Q5","être humain"
"Q12859263","orateur ou oratrice"
"Q12794619","propriétaire de biens"
"Q6502151","fraude fiscale"
"Q273120","protestation"
"Q19829980","scientifique des religions"
"Q63349579","handball national coach"
"Q115042469","Bundestrainer"
"Q19101121","artisan manuel"
"Q8246794","blogueur ou blogueuse"
"Q15980158","auteur ou autrice de non-fiction"
"Q15839206","biologiste moléculaire"
"Q2374149","botaniste"
"Q3578589","écologiste"
"Q1476215","défenseur des droits de l'Homme"
"Q639669","musicien ou musicienne"
"Q639669","musicien ou musicienne"
"Q3409375","prêtre anglican"
"Q47090899","professionnel des musées"
"Q33231","photographe"
"Q1650915","chercheur ou chercheuse"
"Q60332470","anthropogéographe"
"Q101248873","föreståndare"
"Q15319501","chercheur ou chercheuse en sciences sociales"
"Q30002353","professeur de langues"
"Q30002353","professeur de langues"
"Q30002353","professeur de langues"
"Q30002353","professeur de langues"
"Q37226","enseignant ou enseignante"
"Q30002353","professeur de langues"
"Q30002353","professeur de langues"
"Q30002353","professeur de langues"
"Q101445634","professeur de science"
"Q37226","enseignant ou enseignante"
"Q2066131","athlète"
"Q17291399","membre d'équipe de cinéma"
"Q373021","aircrew member"
"Q95613235","steward"
"Q57610536","travailleurs du secteur aérien"
"Q30002353","professeur de langues"
"Q30002353","professeur de langues"
"Q3546255","océanographe"
"Q2675537","professeur ou professeure de musique"
"Q1259917","violoniste"
"Q2675537","professeur ou professeure de musique"
"Q13219637","violoncelliste"
"Q2675537","professeur ou professeure de musique"
"Q899758","altiste"
"Q2675537","professeur ou professeure de musique"
"Q12902372","flûtiste"
"Q2675537","professeur ou professeure de musique"
"Q855091","guitariste"
"Q2675537","professeur ou professeure de musique"
"Q4351403","percussionniste"
"Q4164871","fonction"
"Q41583","entraîneur sportif"
"Q202648","arbitre sportif ou arbitre sportive"
"Q738142","commis"
"Q4164871","fonction"
"Q1162163","directeur ou directrice"
"Q420","biologie"
"Q864601","biomédecine"
"Q123028","pédiatrie"
"Q105169009","orthodox deacon"
"Q103958625","professeur de cuivre"
"Q12377274","trompettiste"
"Q170790","mathématicien ou mathématicienne"
"Q102323692","applied scientist"
"Q611644","évêque catholique"
"Q104049627","western bishop"
"Q105200154","clerc catholique romain"
